request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,large_1.txt,81000,45186917024916,45186917365750,45186920833166,3.80825,0.340834
PUT,small_3.txt,4050,45186917360708,45186923656166,45186923680750,6.32004,6.29546
GET,small_1.txt,810,45186924879666,45186929726375,45186929818791,4.93912,4.84671
GET,large_1.txt,81000,45186924700333,45186927120166,45186930059541,5.35921,2.41983
PUT,.DS_Store,6149,45186924999375,45186935561458,45186935620208,10.6208,10.5621
GET,large_3.txt,405000,45186923656625,45186924698083,45186943244500,19.5879,1.04146
GET,large_3.txt,405000,45186935578250,45186936420375,45186953026083,17.4478,0.842125
PUT,xlarge_1.txt,810000,45186936416625,45187341718625,45187341789333,405.373,405.302
PUT,large_1.txt,81000,45187341707333,45187373764166,45187373777666,32.0703,32.0568
PUT,small.txt,42,45187373754458,45187373817958,45187373824416,0.069958,0.0635
GET,small.txt,42,45187373785416,45187373829458,45187373838208,0.052792,0.044042
GET,.DS_Store,6149,45187373741083,45187373781208,45187373791166,0.050083,0.040125
GET,small.txt,42,45187373794666,45187373842041,45187373848500,0.053834,0.047375
PUT,small.txt,42,45187373803708,45187373846375,45187373851208,0.0475,0.042667
PUT,small_3.txt,4050,45187373836000,45187375695458,45187375899541,2.06354,1.85946
PUT,small.txt,42,45187385038500,45187385262833,45187385270041,0.231541,0.224333
GET,medium_3.txt,40500,45187385311333,45187385365625,45187385880875,0.569542,0.054292
GET,.DS_Store,6149,45187385366875,45187385909583,45187385915833,0.548958,0.542708
GET,xlarge_1.txt,810000,45187375672500,45187376235791,45187386957125,11.2846,0.563291
GET,medium_3.txt,40500,45187386560291,45187386709416,45187389496416,2.93613,0.149125
PUT,.DS_Store,6149,45187387051666,45187390605291,45187390630250,3.57858,3.55362
GET,medium_3.txt,40500,45187390936500,45187391038875,45187392203500,1.267,0.102375
GET,large_2.txt,162000,45187390600916,45187390933875,45187395221333,4.62042,0.332959
PUT,xlarge_1.txt,810000,45187403560208,45187798804916,45187798946000,395.386,395.245
PUT,large_1.txt,81000,45187798786250,45187834200458,45187834219541,35.4333,35.4142
GET,medium_2.txt,16200,45187834177708,45187834213041,45187834466833,0.289125,0.035333
GET,medium_1.txt,8100,45187834347791,45187834477958,45187834657583,0.309792,0.130167
GET,large_2.txt,162000,45187834211958,45187834358500,45187838086541,3.87458,0.146542
PUT,medium_3.txt,40500,45187834363958,45187854913250,45187854922208,20.5583,20.5493
PUT,medium_3.txt,40500,45187854890750,45187873228708,45187873239291,18.3485,18.338
GET,medium_2.txt,16200,45187873222458,45187873266375,45187873508250,0.285792,0.043917
